local,preco,metragem,quartos,garagens,banheiros,bairro
"Novo Mundo, Curitiba",540000,74,3,1,2,51
"Rua Baltazar Carrasco dos Reis, Rebouças",310650,34-40,1,1,1,58
"Rua Francisco Nunes, Rebouças",180000,35,1,0-1,1,58
"Alameda Júlia da Costa, São Francisco",741591,70-152,2-3,1-3,2-3,65
"Avenida Presidente Getúlio Vargas, Água Verde",865000,89,3,2,2,1
"Alameda Júlia da Costa, Bigorrilho",470000,71,3,2,2,14
"Rua Desembargador Cid Campelo, Fazendinha",240000,50,2,1,1,37
"Rua Professor Hostílio Araújo, Pilarzinho",750000,200,4,2,3,54
"Ganchinho, Curitiba",16627050,36949,,,,38
"Rua Emiliano Perneta, Centro",160000,20,,,,28
"Rua Rogério Pereira de Camargo, Cidade Industrial",308900,54,2,1,2,33
"Xaxim, Curitiba",540000,,,,,79
"Rua Pedro Krasinski, Capão Raso",395000,73,2,1,2,26
"Rua Rio Guaíba, Bairro Alto",430000,,,,,10
"Rua Monsenhor Ivo Zanlorenzi, Cidade Industrial",760000,88,2,2,2,33
"Alto Boqueirão, Curitiba",288771,48,2,2,1,3
"Rua Lindamir Tortato Nichel, Campo de Santana",299000,78,2,1,1,24
"Rua João Batista Trentin, Tingui",524900,69,3,1,2,74
"Rua Brasílio Bacellar Filho, Tingui",380300,57,2,1,1,74
"Avenida Comendador Franco, Guabirotuba",1290000,551,,,,39
"Rua Tenente-Coronel Muniz de Aragão, Barreirinha",420000,372,,,,12
"Avenida José Gulin, Bacacheri",334100,51,2,,1,9
"Rua Emiliano Perneta, Centro",285000,29,1,,,28
"Rua João Bonat, Novo Mundo",383000,62,2,1,2,51
"Água Verde, Curitiba",549000,77,2,2,2,1
"Alameda Júlia da Costa, Mercês",682428,70-152,2-3,1-2,2-4,49
"Avenida João Gualberto, Alto da Glória",630008,42-83,1-2,1,2-3,4
"Rua Reinaldino Schaffenberg de Quadros, Alto da Rua XV",266993,26-48,1-2,,1,6
"Rua Padre Agostinho, Champagnat",700000,94,3,1,2,32
"Hauer, Curitiba",680000,166,3,1,4,41
"Rua Pedro Wieler, Xaxim",299000,289,,,,79
"Alto Boqueirão, Curitiba",288771,48,2,2,1,3
"Cristo Rei, Curitiba",1040000,109,3,2,2,34
"Rua Maria Noemia dos Santos, Santa Cândida",335000,64,2,1,1,60
"Rodovia BR-116, Hugo Lange",440000,58,2,,1,42
"Rua Marco Polo, Bairro Alto",580000,116,3,2,5,10
"Avenida Comendador Franco, Guabirotuba",1290000,551,,,,39
"Rua Maria Aparecida Beruski, Barreirinha",359000,373,,,,12
"Rua Tenente-Coronel Muniz de Aragão, Barreirinha",420000,372,,,,12
"Atuba, Curitiba",739000,167,3,2,4,7
"Rua Maria Ângela Pachaly, Atuba",410000,360,,,,7
"Rua Monsenhor Ivo Zanlorenzi, Cidade Industrial",886137,88,2,2,2,33
"Rua Emiliano Perneta, Centro",285000,29,1,,,28
"Rua das Araras, São Braz",580000,97,2,2,2,64
"Rua João Batista Trentin, Tingui",496900,69,3,1,2,74
"Alameda Cabral, São Francisco",805000,91,3,2,2,19
"Rua João Bonat, Novo Mundo",383000,62,2,1,2,51
"Rua Manoel Eufrásio, Juvevê",3250000,284,4,8,6,46
"Rua Tobias de Macedo Júnior, Barigui",434100,56,2,1,2,11
"Rua Alferes Ângelo Sampaio, Batel",2259200,151,3,3,3,13
"Avenida Vicente Machado, Batel",681330,53-125,1-3,1-2,,13
"Rua Alferes Ângelo Sampaio, Bigorrilho",696138,54-189,2-3,1-2,2,14
"Centro, Curitiba",220000,28,1,,1,28
"Avenida Manoel Ribas, Mercês",900000,651,,,,49
"Xaxim, Curitiba",289000,55,2,1,1,79
"Rua Doutor Waldemiro Pereira, Capão Raso",323500,48,2,1,1,26
"Rua João Mequetti, Santa Cândida",260000,58,3,1,1,60
"Rua Emiliano Perneta, Centro",300000,66,,1,1,28
"Cabral, Curitiba",1022550,101,2,2,2,19
"Avenida da República, Portão",548482,67,3,1,2,56
"Rua Pedro Krasinski, Capão Raso",330000,67,2,,2,26
"Rua Pedro Collere, Vila Izabel",402410,55,2,1,2,77
"Rua XV de Novembro, Centro",150000,40,,,1,28
"Pilarzinho, Curitiba",795630,112,3,2,3,54
"Rua Paraíba, Guaíra",451000,63,2,1,1,40
"Rua Engenheiro Ostoja Roguski, Jardim Botânico",598000,61,2,1,2,43
"Rua Alferes Poli, Rebouças",240000,58,,1,1,58
"Rua Expedicionário Eurides Fernandes do Nascimento, Alto Boqueirão",495000,10761,2,,3,3
"Rua Gerônimo Muraro, Santa Felicidade",449900,10,,,,61
"Rua Tobias de Macedo Júnior, Barigui",530700,71,3,1,2,11
"Rua Capitão João Zaleski, Lindóia",725000,672,,,,48
"Boa Vista, Curitiba",614091,73,3,1,2,15
"Rua Regina Tisser Stier, Cidade Industrial",450000,480,,,,33
"Avenida do Batel, Batel",700000,46,1,1,1,13
"Rua Maria Clara, Alto da Glória",811100,75-221,2-3,2-3,3-4,4
"Rua Schiller, Cristo Rei",306952,33-41,1-2,,1,34
"Rua Cascavel, Boqueirão",619000,135,3,2,4,17
"Portão, Curitiba",1220000,214,4,3,4,56
"Rua Teófilo Treicik, Orleans",890000,212,4,2,4,52
"Rua João Schleder Sobrinho, Boa Vista",579900,64,3,1,3,15
"Rua Augusto de Mari, Guaíra",599000,598,,,,40
"Rua Eponino Macuco, Capão Raso",360000,53,2,1,1,26
"Avenida República Argentina, Portão",423762,70,2,,1,56
"Rua Doutor Waldemiro Pereira, Capão Raso",343000,53,2,1,2,26
"Rua Apolônio de Tiana, Santa Cândida",290000,128,,,,60
"Rua Reinaldino Schaffenberg de Quadros, Alto da Rua XV",1050000,108,3,2,3,6
"Rua José Bajerski, Abranches",650000,128,3,3,3,0
"Novo Mundo, Curitiba",383462,62,2,1,2,51
"Guaíra, Curitiba",735000,122,3,4,2,40
"Rua Edmundo Alberto Mercer, Tingui",337900,10,2,1,1,74
"Rua João Dranka, Cristo Rei",602680,59,2,1,1,34
"Pinheirinho, Curitiba",489000,,,,,55
"Rua João Viana Seiler, Parolin",340000,64,2,1,2,53
"Rua Enette Dubard, Tatuquara",650000,418,,,,73
"Rua Mário Gomes Cézar, Pinheirinho",233000,58,2,1,1,55
"Rua Clóvis Beviláqua Sobrinho, Uberaba",745000,149,3,2,4,75
"Rua Nunes Machado, Rebouças",170000,26,,,1,58
"Rua Alferes Ângelo Sampaio, Bigorrilho",1401863,107-318,3,2-3,2-4,14
"Rua Capitão Souza Franco, Champagnat",470500,31-159,1,0-1,1,32
"Avenida João Gualberto, Alto da Glória",2604000,200-312,2-3,3-4,5-6,4
"Rua José Ferreira Pinheiro, Vila Izabel",690000,88,3,2,2,77
"Rua Doutor Manoel Pedro, Cabral",1249909,151,4,2,5,19
"Rua Agostinho Brusamolin, Neoville",385000,47,2,1,1,80
"Água Verde, Curitiba",710000,77,2,2,2,1
"Rua Maria Noemia dos Santos, Santa Cândida",282000,50,2,1,1,60
"Rua Joaquim Natividade da Silva, Capão da Imbuia",1698190,400,3,10,2,25
"Rua Gil Vicente, Guaíra",650000,396,,,,40
"Rua Domingos Gabardo, Capão Raso",420000,68,2,1,1,26
"Rua Grã Nicco, Ecoville",520000,75,,1,1,35
"Rua João Negrão, Centro",160000,30,,,1,28
"Rua Nicolau Salomão, Tingui",350909,84,2,1,2,74
"Rua Francisco Balchak, Boa Vista",611407,78,3,2,2,15
"Rua Emiliano Perneta, Centro",466158,36,,1,1,28
"Travessa Taboão, Taboão",520000,626,,,,71
"Rua Monsenhor Ivo Zanlorenzi, Mossunguê",1200000,128,3,2,3,50
"Rua Marquês do Paraná, Água Verde",890328,107,3,2,1,1
"Avenida Senador Salgado Filho, Uberaba",1100000,785,,,,75
"Rua Miguel Laudecir de Oliveira, Ganchinho",849180,204,3,4,4,38
"Alto da Glória, Curitiba",1189000,133,2,2,2,4
"Avenida Nossa Senhora da Penha, Cristo Rei",410000,97,3,,1,34
"Rua Luiz Ronaldo Canalli, Campo Comprido",189590,48,2,1,1,23
"Rua Visconde do Rio Branco, Mercês",631700,72-88,2,1-2,2-3,49
"Alameda Júlia da Costa, Bigorrilho",Sobconsulta,149-261,2-3,2-3,3-5,14
"Rua Alferes Ângelo Sampaio, Mercês",1005600,90-209,2-3,2-3,3-4,49
"Rua México, Jardim Social",1200000,203,3,2,4,44
"Rua Sete de Abril, Juvevê",730000,98,3,2,2,46
"Rua Angelina Legat Pasini, Alto Boqueirão",550000,630,,,,3
"Rua José Zaleski, Capão Raso",440098,68,2,1,2,26
"Rua Antônio Parolin Júnior, Parolin",423000,83,3,2,3,53
"Rua Jovino do Rosário, Boa Vista",411278,51,2,1,1,15
"Pinheirinho, Curitiba",240000,50,2,1,1,55
"Tingui, Curitiba",353000,57,2,1,2,74
"Rua Clara Nunes, Santa Cândida",690000,517,,,,60
