local,preco,metragem,quartos,garagens,banheiros,bairro
"Jardim Social, Curitiba",1160000,294.0,5.0,9.0,4.0,44
"Boqueirão, Curitiba",640000,100.0,3.0,2.0,3.0,17
"Ahú, Curitiba",2999999,475.0,4.0,6.0,6.0,2
"Campo Comprido, Curitiba",4399000,832.0,4.0,7.0,6.0,23
"Boa Vista, Curitiba",744000,116.0,3.0,2.0,3.0,15
"Atuba, Curitiba",1420000,220.0,3.0,2.0,3.0,7
"Vista Alegre, Curitiba",5000000,641.0,5.0,11.0,6.0,78
"Ahú, Curitiba",1324900,205.0,3.0,3.0,5.0,2
"Hugo Lange, Curitiba",860000,247.0,4.0,3.0,3.0,42
"Bacacheri, Curitiba",896000,208.0,4.0,2.0,4.0,9
"Xaxim, Curitiba",695000,295.0,4.0,1.0,5.0,79
"Santa Cândida, Curitiba",1650000,280.0,4.0,6.0,5.0,60
"Santa Cândida, Curitiba",545000,114.0,3.0,2.0,3.0,60
"Pinheirinho, Curitiba",550000,210.0,4.0,5.0,3.0,55
"Cidade Industrial, Curitiba",309000,92.0,3.0,2.0,2.0,33
"Jardim Social, Curitiba",1166000,294.0,4.0,5.0,5.0,44
"Água Verde, Curitiba",831290,129.0,3.0,2.0,2.0,1
"Boqueirão, Curitiba",1230000,185.0,3.0,4.0,3.0,17
"Novo Mundo, Curitiba",592900,109.0,3.0,2.0,3.0,51
"Santa Felicidade, Curitiba",749000,118.0,4.0,2.0,3.0,61
"Bigorrilho, Curitiba",1535000,267.0,3.0,3.0,4.0,14
"Centro Cívico, Curitiba",2590000,1000.0,5.0,10.0,8.0,28
"Hauer, Curitiba",1200000,600.0,6.0,4.0,6.0,41
"Boa Vista, Curitiba",599000,122.0,3.0,2.0,4.0,15
"São Braz, Curitiba",700000,173.0,4.0,2.0,3.0,64
"Santa Cândida, Curitiba",584215,104.0,3.0,1.0,3.0,60
"Santa Cândida, Curitiba",500000,94.0,3.0,1.0,3.0,60
"Santa Cândida, Curitiba",860000,322.0,4.0,4.0,4.0,60
"Hauer, Curitiba",430000,100.0,3.0,2.0,2.0,41
"Capão Raso, Curitiba",529000,100.0,3.0,1.0,2.0,26
"Novo Mundo, Curitiba",1399000,220.0,3.0,4.0,4.0,51
"São Braz, Curitiba",799000,211.0,3.0,10.0,4.0,64
"Vista Alegre, Curitiba",2400000,440.0,4.0,7.0,4.0,78
"Boa Vista, Curitiba",593569,95.0,3.0,2.0,2.0,15
"Uberaba, Curitiba",1490000,199.0,3.0,4.0,3.0,75
"Campo Comprido, Curitiba",2980000,441.0,5.0,1.0,4.0,23
"Boa Vista, Curitiba",1850000,495.0,4.0,4.0,6.0,15
"Uberaba, Curitiba",320000,90.0,2.0,3.0,1.0,75
"Capão da Imbuia, Curitiba",780000,147.0,3.0,2.0,1.0,25
"Pinheirinho, Curitiba",598000,151.0,3.0,2.0,2.0,55
"Bairro Alto, Curitiba",605000,145.0,3.0,3.0,3.0,10
"Xaxim, Curitiba",599000,106.0,3.0,2.0,3.0,79
"Barreirinha, Curitiba",480000,115.0,3.0,2.0,2.0,12
"Pilarzinho, Curitiba",1200000,320.0,5.0,5.0,3.0,54
"Santa Felicidade, Curitiba",2189000,300.0,4.0,2.0,7.0,61
"Tatuquara, Curitiba",480000,200.0,5.0,3.0,2.0,73
"Tarumã, Curitiba",1190000,270.0,3.0,3.0,3.0,72
"Boa Vista, Curitiba",639000,131.0,3.0,,3.0,15
"Atuba, Curitiba",669000,130.0,3.0,3.0,3.0,7
"Boqueirão, Curitiba",2749000,402.0,3.0,7.0,5.0,17
"Santa Cândida, Curitiba",900000,,,,,60
"Guabirotuba, Curitiba",990000,240.0,4.0,2.0,2.0,39
"São Braz, Curitiba",1100000,235.0,4.0,4.0,2.0,64
"Xaxim, Curitiba",660000,125.0,3.0,3.0,3.0,79
"Campo Comprido, Curitiba",1437000,310.0,3.0,5.0,1.0,23
"Butiatuvinha, Curitiba",1820000,354.0,4.0,2.0,6.0,18
"Barreirinha, Curitiba",799500,264.0,3.0,4.0,3.0,12
"Portão, Curitiba",1499001,395.0,4.0,7.0,6.0,56
"Sitio Cercado, Curitiba",640000,161.0,3.0,1.0,3.0,70
"Atuba, Curitiba",700000,140.0,3.0,2.0,3.0,7
"Alto Boqueirão, Curitiba",425000,160.0,4.0,3.0,2.0,3
"Boqueirão, Curitiba",400000,91.0,3.0,1.0,2.0,17
"Campo Comprido, Curitiba",6700000,466.0,4.0,6.0,6.0,23
"Atuba, Curitiba",315000,56.0,2.0,1.0,2.0,7
"Bairro Alto, Curitiba",2700000,293.0,5.0,6.0,1.0,10
"Uberaba, Curitiba",760000,116.0,3.0,2.0,3.0,75
"Guaíra, Curitiba",800000,210.0,3.0,,3.0,40
"Cascatinha, Curitiba",1926000,340.0,4.0,5.0,1.0,27
"São Braz, Curitiba",1250000,254.0,4.0,4.0,4.0,64
"Santa Felicidade, Curitiba",1980000,370.0,5.0,8.0,6.0,61
"Alto Boqueirão, Curitiba",499000,109.0,3.0,3.0,3.0,3
"Boqueirão, Curitiba",1450000,289.0,3.0,4.0,3.0,17
"Alto da XV, Curitiba",900000,200.0,4.0,3.0,3.0,5
"Uberaba, Curitiba",698950,126.0,3.0,2.0,3.0,75
"Vista Alegre, Curitiba",269000,80.0,2.0,,1.0,78
"Água Verde, Curitiba",2290000,419.0,4.0,3.0,8.0,1
"Centro, Curitiba",175000,,,,,28
"Hauer, Curitiba",824900,130.0,3.0,3.0,4.0,41
"Cidade Industrial, Curitiba",260000,74.0,3.0,2.0,2.0,33
"Santo Inácio, Curitiba",3890000,480.0,4.0,,5.0,63
"Pilarzinho, Curitiba",585000,140.0,3.0,2.0,3.0,54
"São Francisco, Curitiba",985000,249.0,3.0,3.0,4.0,65
"Ecoville, Curitiba",7420730,309.0,3.0,3.0,5.0,35
"São Lourenço, Curitiba",800000,208.0,3.0,2.0,5.0,67
"Cajuru, Curitiba",385000,90.0,3.0,2.0,3.0,21
"Barreirinha, Curitiba",680000,171.0,3.0,2.0,3.0,12
"Santa Quitéria, Curitiba",549000,,,,,62
"Jardim Botânico, Curitiba",1960000,349.0,3.0,4.0,4.0,43
"Boa Vista, Curitiba",1850000,495.0,,,,15
"São Braz, Curitiba",940000,232.0,3.0,2.0,4.0,64
"Cidade Industrial, Curitiba",379000,80.0,3.0,2.0,1.0,33
"Portão, Curitiba",1300000,400.0,3.0,4.0,3.0,56
"Butiatuvinha, Curitiba",1820000,273.0,4.0,2.0,6.0,18
"Pilarzinho, Curitiba",1350000,513.0,6.0,6.0,9.0,54
"Capão Raso, Curitiba",740000,173.0,3.0,4.0,3.0,26
"Capão Raso, Curitiba",890000,150.0,3.0,2.0,3.0,26
"Vista Alegre, Curitiba",12000000,1067.0,4.0,10.0,7.0,78
"Bigorrilho, Curitiba",3500000,405.0,4.0,6.0,5.0,14
"Uberaba, Curitiba",800000,147.0,2.0,5.0,1.0,75
"Bom Retiro, Curitiba",895002,217.0,5.0,3.0,3.0,16
"Santa Felicidade, Curitiba",4949000,700.0,4.0,4.0,6.0,61
"Bacacheri, Curitiba",2180000,312.0,3.0,2.0,5.0,9
"Capão Raso, Curitiba",1450000,183.0,2.0,4.0,1.0,26
"Barreirinha, Curitiba",610000,60.0,3.0,4.0,1.0,12
"São Lourenço, Curitiba",1090000,279.0,3.0,4.0,4.0,67
"Uberaba, Curitiba",1150000,187.0,3.0,2.0,3.0,75
"Novo Mundo, Curitiba",699000,101.0,3.0,2.0,3.0,51
"Boa Vista, Curitiba",1650000,381.0,3.0,6.0,4.0,15
"Portão, Curitiba",650000,113.0,3.0,2.0,4.0,56
"Campo Comprido, Curitiba",1950000,300.0,4.0,4.0,4.0,23
"Novo Mundo, Curitiba",650000,180.0,5.0,4.0,3.0,51
"Novo Mundo, Curitiba",730000,159.0,4.0,4.0,3.0,51
"Uberaba, Curitiba",569000,140.0,3.0,2.0,3.0,75
"Jardim das Américas, Curitiba",749700,220.0,4.0,4.0,3.0,45
"Cachoeira, Curitiba",290000,48.0,3.0,1.0,1.0,20
"Xaxim, Curitiba",539900,109.0,3.0,1.0,3.0,79
"Santa Felicidade, Curitiba",987353,127.0,3.0,2.0,4.0,61
"Butiatuvinha, Curitiba",2979900,307.0,3.0,2.0,4.0,18
"Água Verde, Curitiba",1400000,330.0,4.0,4.0,6.0,1
"Boqueirão, Curitiba",2749000,402.0,3.0,5.0,5.0,17
"Santa Cândida, Curitiba",450000,,,,,60
"Cidade Industrial, Curitiba",220000,70.0,3.0,2.0,1.0,33
"São Braz, Curitiba",2400000,346.0,4.0,4.0,5.0,64
"Campo Comprido, Curitiba",570000,125.0,3.0,1.0,4.0,23
"Sitio Cercado, Curitiba",415000,82.0,3.0,1.0,3.0,70
"São Lourenço, Curitiba",960000,215.0,4.0,4.0,6.0,67
"Champagnat, Curitiba",2500000,460.0,4.0,2.0,4.0,32
"Uberaba, Curitiba",745000,105.0,3.0,2.0,2.0,75
"São João, Curitiba",4250000,510.0,4.0,10.0,7.0,66
"Campo Comprido, Curitiba",801000,208.0,3.0,2.0,2.0,23
"Guaíra, Curitiba",675000,115.0,3.0,2.0,3.0,40
"Uberaba, Curitiba",786000,207.0,4.0,3.0,4.0,75
"Barreirinha, Curitiba",535000,138.0,3.0,3.0,3.0,12
"Bom Retiro, Curitiba",1060000,175.0,3.0,2.0,4.0,16
"Uberaba, Curitiba",650000,206.0,4.0,2.0,2.0,75
"Atuba, Curitiba",689000,166.0,3.0,2.0,3.0,7
"Capão Raso, Curitiba",1600000,342.0,4.0,4.0,5.0,26
"Água Verde, Curitiba",960000,159.0,3.0,2.0,3.0,1
"Sitio Cercado, Curitiba",430000,106.0,2.0,2.0,1.0,70
"Xaxim, Curitiba",499000,172.0,3.0,3.0,2.0,79
"São Lourenço, Curitiba",1400000,240.0,3.0,2.0,4.0,67
"Portão, Curitiba",1300000,180.0,3.0,6.0,4.0,56
"Fanny, Curitiba",395000,83.0,2.0,1.0,3.0,36
"Boqueirão, Curitiba",600000,117.0,3.0,2.0,2.0,17
"Atuba, Curitiba",680000,132.0,3.0,2.0,3.0,7
"São Lourenço, Curitiba",3499950,383.0,5.0,10.0,5.0,67
"Santa Cândida, Curitiba",890000,342.0,3.0,3.0,4.0,60
"Barreirinha, Curitiba",925000,287.0,5.0,4.0,4.0,12
"Uberaba, Curitiba",690000,166.0,4.0,2.0,4.0,75
"Guaíra, Curitiba",629000,137.0,4.0,2.0,4.0,40
"Boqueirão, Curitiba",559000,140.0,3.0,3.0,3.0,17
"Campina do Siqueira, Curitiba",2900001,198.0,4.0,3.0,6.0,22
"Alto Boqueirão, Curitiba",405000,120.0,3.0,7.0,2.0,3
"Boa Vista, Curitiba",1450000,414.0,4.0,4.0,4.0,15
"Cachoeira, Curitiba",980000,181.0,3.0,5.0,5.0,20
"Alto Boqueirão, Curitiba",395000,108.0,3.0,2.0,2.0,3
"São Lourenço, Curitiba",1350000,308.0,3.0,6.0,4.0,67
"Atuba, Curitiba",530000,106.0,3.0,2.0,3.0,7
"Ahú, Curitiba",3000000,475.0,4.0,6.0,6.0,2
"Xaxim, Curitiba",529900,146.0,3.0,3.0,3.0,79
"Bairro Alto, Curitiba",580000,148.0,3.0,6.0,4.0,10
"Centro Cívico, Curitiba",800000,144.0,3.0,3.0,2.0,28
"Uberaba, Curitiba",635000,167.0,3.0,2.0,4.0,75
"Boa Vista, Curitiba",500000,106.0,3.0,2.0,3.0,15
"Santa Felicidade, Curitiba",650000,150.0,3.0,2.0,4.0,61
"São Lourenço, Curitiba",840000,161.0,3.0,2.0,2.0,67
"Bairro Alto, Curitiba",540000,87.0,3.0,1.0,3.0,10
"Sitio Cercado, Curitiba",415000,82.0,3.0,2.0,3.0,70
"Boa Vista, Curitiba",595000,142.0,3.0,2.0,3.0,15
"Bom Retiro, Curitiba",1450000,382.0,4.0,4.0,5.0,16
"Sitio Cercado, Curitiba",750000,180.0,3.0,4.0,3.0,70
"Jardim das Américas, Curitiba",467500,110.0,3.0,2.0,2.0,45
"São Lourenço, Curitiba",2000000,492.0,3.0,2.0,4.0,67
"Cajuru, Curitiba",1140000,166.0,3.0,2.0,5.0,21
"Mercês, Curitiba",1120055,260.0,4.0,5.0,4.0,49
"Xaxim, Curitiba",570000,130.0,3.0,2.0,3.0,79
"Santa Felicidade, Curitiba",5900000,880.0,5.0,4.0,6.0,61
"Centro, Curitiba",3980000,370.0,4.0,2.0,6.0,28
"Ahú, Curitiba",3100000,471.0,4.0,5.0,5.0,2
"Alto Boqueirão, Curitiba",349900,200.0,3.0,3.0,2.0,3
"Mercês, Curitiba",1090000,189.0,3.0,2.0,4.0,49
"São Lourenço, Curitiba",3000001,475.0,4.0,6.0,7.0,67
"Barigui, Curitiba",2189900,300.0,5.0,5.0,6.0,11
"Pinheirinho, Curitiba",749000,153.0,3.0,1.0,2.0,55
"Água Verde, Curitiba",1025000,218.0,3.0,2.0,5.0,1
"Santa Cândida, Curitiba",520000,110.0,3.0,2.0,2.0,60
"Santa Cândida, Curitiba",750000,119.0,,,,60
"Campo Comprido, Curitiba",1690000,310.0,4.0,5.0,5.0,23
"Boqueirão, Curitiba",599000,115.0,3.0,3.0,3.0,17
"Tingui, Curitiba",1770000,396.0,4.0,4.0,6.0,74
"Barigui, Curitiba",3790000,452.0,3.0,5.0,4.0,11
"Boa Vista, Curitiba",890000,171.0,3.0,2.0,4.0,15
"Jardim Social, Curitiba",1499000,300.0,4.0,2.0,5.0,44
"Umbará, Curitiba",2500000,356.0,3.0,5.0,5.0,76
"Parolin, Curitiba",423000,84.0,3.0,2.0,3.0,53
"Vista Alegre, Curitiba",2430000,415.0,4.0,5.0,6.0,78
"Mossunguê, Curitiba",850000,166.0,3.0,3.0,4.0,50
"Barreirinha, Curitiba",1100000,243.0,4.0,4.0,5.0,12
"Ahú, Curitiba",3200000,600.0,4.0,4.0,6.0,2
"Bacacheri, Curitiba",789000,189.0,3.0,2.0,4.0,9
"Seminário, Curitiba",1798000,232.0,4.0,8.0,5.0,69
"Lindóia, Curitiba",524000,142.0,3.0,2.0,2.0,48
"Santa Felicidade, Curitiba",548000,200.0,5.0,3.0,4.0,61
"Tatuquara, Curitiba",280000,106.0,4.0,4.0,3.0,73
"Cidade Industrial, Curitiba",315000,72.0,2.0,2.0,2.0,33
"Pinheirinho, Curitiba",490000,298.0,4.0,2.0,2.0,55
"Pinheirinho, Curitiba",380000,74.0,3.0,2.0,2.0,55
"Campo de Santana, Curitiba",189000,42.0,2.0,1.0,1.0,24
"Alto da Glória, Curitiba",998000,122.0,2.0,6.0,2.0,4
"Santo Inácio, Curitiba",7500000,900.0,4.0,,5.0,63
"Capão da Imbuia, Curitiba",1300000,167.0,4.0,3.0,4.0,25
"Santa Felicidade, Curitiba",1850000,392.0,4.0,3.0,5.0,61
"Santa Quitéria, Curitiba",1050000,145.0,3.0,3.0,3.0,62
"Uberaba, Curitiba",1500000,220.0,3.0,4.0,4.0,75
"Ahú, Curitiba",1100000,,,,,2
"Tarumã, Curitiba",1600000,392.0,3.0,4.0,5.0,72
"Seminário, Curitiba",2700000,534.0,5.0,6.0,7.0,69
"Bigorrilho, Curitiba",2599989,402.0,4.0,7.0,3.0,14
"Cajuru, Curitiba",379800,86.0,3.0,1.0,3.0,21
"Parolin, Curitiba",399000,,,,,53
"Xaxim, Curitiba",350000,65.0,3.0,2.0,1.0,79
"Guabirotuba, Curitiba",390000,90.0,3.0,2.0,3.0,39
"Barreirinha, Curitiba",980000,181.0,3.0,5.0,5.0,12
"Campo Comprido, Curitiba",2980000,358.0,4.0,8.0,6.0,23
"Uberaba, Curitiba",600651,109.0,3.0,2.0,3.0,75
"Uberaba, Curitiba",690000,167.0,4.0,2.0,4.0,75
"Bacacheri, Curitiba",1200000,261.0,3.0,2.0,5.0,9
"Ahú, Curitiba",670000,131.0,3.0,1.0,3.0,2
"Boa Vista, Curitiba",650000,190.0,4.0,3.0,4.0,15
"Santa Felicidade, Curitiba",1990000,292.0,3.0,4.0,3.0,61
"Atuba, Curitiba",1990000,354.0,3.0,6.0,4.0,7
"Jardim Social, Curitiba",1200000,203.0,3.0,2.0,4.0,44
"Uberaba, Curitiba",819000,253.0,4.0,5.0,4.0,75
"Santa Cândida, Curitiba",870000,141.0,3.0,1.0,1.0,60
"São Braz, Curitiba",3500000,415.0,4.0,6.0,7.0,64
"Parolin, Curitiba",1750000,340.0,4.0,2.0,6.0,53
"Uberaba, Curitiba",450000,140.0,3.0,1.0,2.0,75
"Alto Boqueirão, Curitiba",360000,72.0,,,,3
"Uberaba, Curitiba",670000,192.0,3.0,2.0,3.0,75
"Uberaba, Curitiba",499000,110.0,3.0,1.0,3.0,75
"Cajuru, Curitiba",475000,135.0,2.0,2.0,3.0,21
"Ahú, Curitiba",3000000,475.0,4.0,5.0,6.0,2
"Água Verde, Curitiba",1197320,162.0,3.0,1.0,3.0,1
"Santa Cândida, Curitiba",960000,200.0,5.0,6.0,4.0,60
"Sitio Cercado, Curitiba",270000,150.0,3.0,3.0,3.0,70
"Umbará, Curitiba",2300000,365.0,4.0,4.0,5.0,76
"Cajuru, Curitiba",549900,101.0,3.0,2.0,3.0,21
"Boqueirão, Curitiba",560000,120.0,3.0,2.0,3.0,17
"Boqueirão, Curitiba",850000,116.0,5.0,5.0,3.0,17
"Pilarzinho, Curitiba",730000,180.0,4.0,3.0,3.0,54
"Boqueirão, Curitiba",568000,123.0,4.0,,,17
"Boa Vista, Curitiba",700000,120.0,4.0,3.0,2.0,15
"Boqueirão, Curitiba",559157,101.0,3.0,,2.0,17
"São Braz, Curitiba",2950000,304.0,3.0,3.0,5.0,64
"Cajuru, Curitiba",495000,133.0,3.0,2.0,1.0,21
"Vista Alegre, Curitiba",739800,120.0,3.0,1.0,4.0,78
"Capão Raso, Curitiba",700000,250.0,3.0,,,26
"Santa Quitéria, Curitiba",790000,195.0,4.0,5.0,3.0,62
"Uberaba, Curitiba",541970,,,,,75
"Pilarzinho, Curitiba",1000000,,,,,54
"Pilarzinho, Curitiba",869000,237.0,3.0,4.0,3.0,54
"Água Verde, Curitiba",1197320,162.0,3.0,2.0,5.0,1
"Parolin, Curitiba",779000,141.0,3.0,3.0,4.0,53
"Uberaba, Curitiba",550000,110.0,3.0,2.0,3.0,75
"Boa Vista, Curitiba",2150000,528.0,5.0,6.0,6.0,15
"Santo Inácio, Curitiba",1100000,194.0,3.0,3.0,3.0,63
"Vista Alegre, Curitiba",3600000,400.0,3.0,5.0,6.0,78
"Xaxim, Curitiba",850000,286.0,4.0,,,79
"Água Verde, Curitiba",1024520,175.0,3.0,2.0,3.0,1
"Uberaba, Curitiba",549900,105.0,3.0,2.0,4.0,75
"Bairro Alto, Curitiba",500000,235.0,5.0,5.0,4.0,10
"Umbará, Curitiba",460000,106.0,2.0,1.0,1.0,76
"Campo Comprido, Curitiba",840000,184.0,3.0,2.0,3.0,23
"Barreirinha, Curitiba",780000,19200.0,4.0,4.0,7.0,12
"Novo Mundo, Curitiba",980000,240.0,3.0,4.0,3.0,51
"Campo Comprido, Curitiba",7499000,775.0,4.0,8.0,7.0,23
"Boa Vista, Curitiba",589000,138.0,3.0,1.0,3.0,15
"Mossunguê, Curitiba",3350000,556.0,5.0,4.0,7.0,50
"Santa Felicidade, Curitiba",1090000,145.0,3.0,4.0,3.0,61
"Uberaba, Curitiba",2290000,320.0,3.0,5.0,5.0,75
"Barreirinha, Curitiba",2000000,360.0,3.0,4.0,5.0,12
"Tingui, Curitiba",799000,136.0,4.0,4.0,3.0,74
"Cidade Industrial, Curitiba",380000,300.0,4.0,2.0,3.0,33
"Abranches, Curitiba",1900000,330.0,4.0,5.0,4.0,0
"Xaxim, Curitiba",557000,108.0,3.0,2.0,3.0,79
"Tingui, Curitiba",871000,124.0,3.0,5.0,3.0,74
"São Braz, Curitiba",250000,86.0,4.0,2.0,1.0,64
"Campo Comprido, Curitiba",2630000,309.0,5.0,4.0,5.0,23
"Bigorrilho, Curitiba",1799000,285.0,4.0,4.0,4.0,14
"Sitio Cercado, Curitiba",320000,110.0,3.0,2.0,1.0,70
"Jardim Schaffer, Curitiba",4497000,734.0,4.0,8.0,7.0,-1
"Jardim Social, Curitiba",1590000,290.0,,,,44
"Portão, Curitiba",785000,273.0,3.0,5.0,2.0,56
"Batel, Curitiba",2500000,255.0,4.0,3.0,4.0,13
"Curitiba, Paraná",2650000,374.0,6.0,4.0,4.0,-1
"Xaxim, Curitiba",690000,140.0,3.0,4.0,4.0,79
"Jardim das Américas, Curitiba",5890000,677.0,3.0,6.0,5.0,45
"Santa Quitéria, Curitiba",1400000,424.0,3.0,12.0,4.0,62
"Bom Retiro, Curitiba",1075000,163.0,3.0,3.0,3.0,16
"Alto Boqueirão, Curitiba",410000,73.0,3.0,2.0,2.0,3
"Bairro Alto, Curitiba",419000,88.0,3.0,2.0,2.0,10
"Parolin, Curitiba",420000,90.0,3.0,2.0,3.0,53
"Boa Vista, Curitiba",630000,147.0,3.0,2.0,3.0,15
"Novo Mundo, Curitiba",950000,284.0,,,,51
"Barreirinha, Curitiba",750000,96.0,3.0,2.0,3.0,12
"São Lourenço, Curitiba",720000,138.0,3.0,2.0,3.0,67
"Pinheirinho, Curitiba",575000,104.0,3.0,1.0,2.0,55
"Bom Retiro, Curitiba",859000,173.0,3.0,2.0,4.0,16
"Campo de Santana, Curitiba",165000,44.0,3.0,1.0,1.0,24
"Hugo Lange, Curitiba",1090000,220.0,3.0,4.0,2.0,42
"Abranches, Curitiba",340295,56.0,2.0,1.0,2.0,0
"Mercês, Curitiba",1595000,190.0,3.0,2.0,4.0,49
"Campo Comprido, Curitiba",345000,200.0,2.0,6.0,2.0,23
"Bom Retiro, Curitiba",983000,165.0,3.0,1.0,4.0,16
"Bairro Alto, Curitiba",580000,142.0,3.0,3.0,3.0,10
"Uberaba, Curitiba",1233000,217.0,3.0,2.0,3.0,75
"Santo Inácio, Curitiba",1824800,271.0,3.0,4.0,5.0,63
"Santa Felicidade, Curitiba",999407,,,,,61
"Sitio Cercado, Curitiba",250000,140.0,3.0,1.0,3.0,70
"Santa Cândida, Curitiba",870000,300.0,3.0,2.0,1.0,60
"Vista Alegre, Curitiba",898000,131.0,3.0,1.0,4.0,78
"Campo Comprido, Curitiba",18000000,900.0,4.0,4.0,7.0,23
"Água Verde, Curitiba",879900,125.0,3.0,2.0,4.0,1
"Santa Felicidade, Curitiba",4185000,375.0,4.0,5.0,5.0,61
"Boqueirão, Curitiba",468000,106.0,3.0,2.0,3.0,17
"Cidade Industrial, Curitiba",275000,148.0,2.0,1.0,2.0,33
"Bairro Alto, Curitiba",585000,128.0,4.0,2.0,4.0,10
"Pinheirinho, Curitiba",620000,140.0,,,,55
"Cidade Industrial, Curitiba",235000,45.0,2.0,,1.0,33
"Santa Felicidade, Curitiba",950000,200.0,3.0,2.0,2.0,61
"Abranches, Curitiba",750000,400.0,3.0,6.0,5.0,0
"Alto da XV, Curitiba",1490000,252.0,4.0,4.0,3.0,5
"Santa Felicidade, Curitiba",3699000,283.0,4.0,4.0,4.0,61
"Boa Vista, Curitiba",750000,186.0,3.0,2.0,4.0,15
"Santa Felicidade, Curitiba",2300000,240.0,3.0,4.0,5.0,61
"Santa Felicidade, Curitiba",2399000,736.0,4.0,8.0,5.0,61
"Tarumã, Curitiba",580000,160.0,3.0,2.0,4.0,72
"Santa Felicidade, Curitiba",3682000,325.0,3.0,4.0,2.0,61
"Hauer, Curitiba",619000,104.0,3.0,2.0,3.0,41
"Santo Inácio, Curitiba",720000,113.0,3.0,1.0,3.0,63
"São João, Curitiba",2390000,467.0,4.0,4.0,6.0,66
"Umbará, Curitiba",780000,149.0,3.0,2.0,3.0,76
"Abranches, Curitiba",746464,112.0,3.0,2.0,3.0,0
"Pilarzinho, Curitiba",1190000,253.0,4.0,14.0,5.0,54
"Seminário, Curitiba",2500000,415.0,5.0,6.0,6.0,69
"Campo Comprido, Curitiba",1387000,352.0,4.0,5.0,5.0,23
"Barreirinha, Curitiba",850000,175.0,3.0,2.0,4.0,12
"Campo Comprido, Curitiba",2480000,308.0,4.0,8.0,4.0,23
"Santa Felicidade, Curitiba",2100101,292.0,3.0,4.0,3.0,61
"Guaíra, Curitiba",980000,320.0,4.0,9.0,3.0,40
"Cidade Industrial, Curitiba",350000,220.0,2.0,2.0,1.0,33
"Água Verde, Curitiba",989500,124.0,3.0,2.0,3.0,1
"Pinheirinho, Curitiba",950000,203.0,3.0,4.0,3.0,55
"Ahú, Curitiba",915000,240.0,3.0,5.0,4.0,2
"Boqueirão, Curitiba",500000,134.0,3.0,3.0,2.0,17
"Barreirinha, Curitiba",990000,130.0,3.0,3.0,3.0,12
"Cajuru, Curitiba",820000,182.0,4.0,3.0,3.0,21
"Bacacheri, Curitiba",957000,141.0,3.0,2.0,4.0,9
"Capão da Imbuia, Curitiba",890000,335.0,4.0,3.0,4.0,25
"Abranches, Curitiba",780000,220.0,3.0,3.0,3.0,0
"Jardim das Américas, Curitiba",830000,141.0,3.0,3.0,4.0,45
"Capão da Imbuia, Curitiba",550000000,170.0,4.0,4.0,3.0,25
"Ahú, Curitiba",1799990,168.0,3.0,3.0,5.0,2
"Santa Felicidade, Curitiba",830000,,,,,61
"Vila Izabel, Curitiba",1650000,214.0,3.0,2.0,4.0,77
"Sitio Cercado, Curitiba",1250001,360.0,3.0,2.0,5.0,70
"Cajuru, Curitiba",579000,119.0,3.0,2.0,4.0,21
"Ahú, Curitiba",3199999,750.0,4.0,15.0,5.0,2
"Campo de Santana, Curitiba",185000,65.0,2.0,,1.0,24
"Abranches, Curitiba",525000,96.0,3.0,2.0,1.0,0
"Sitio Cercado, Curitiba",750000,248.0,3.0,5.0,3.0,70
"Uberaba, Curitiba",1990000,320.0,3.0,6.0,4.0,75
"Mercês, Curitiba",1220000,260.0,4.0,3.0,5.0,49
"Atuba, Curitiba",435000,96.0,3.0,2.0,2.0,7
"São Braz, Curitiba",1220000,254.0,4.0,5.0,3.0,64
"Santa Cândida, Curitiba",1500000,368.0,3.0,6.0,3.0,60
"Cajuru, Curitiba",489900,102.0,3.0,3.0,3.0,21
"Bairro Alto, Curitiba",800000,312.0,6.0,10.0,4.0,10
"Xaxim, Curitiba",1799900,210.0,3.0,4.0,3.0,79
"Abranches, Curitiba",1990000,479.0,5.0,6.0,5.0,0
"Lindóia, Curitiba",640000,172.0,4.0,2.0,3.0,48
"Boqueirão, Curitiba",569000,115.0,3.0,2.0,3.0,17
"Uberaba, Curitiba",695000,149.0,3.0,2.0,2.0,75
"Uberaba, Curitiba",649950,160.0,3.0,2.0,3.0,75
"Pinheirinho, Curitiba",390000,84.0,3.0,2.0,2.0,55
"Campo Comprido, Curitiba",6600000,480.0,4.0,4.0,5.0,23
"Guaíra, Curitiba",500000,125.0,3.0,3.0,2.0,40
"Tarumã, Curitiba",1600000,391.0,3.0,4.0,5.0,72
"Bacacheri, Curitiba",740000,126.0,3.0,1.0,3.0,9
"Uberaba, Curitiba",470000,102.0,3.0,2.0,2.0,75
"São Braz, Curitiba",3200000,320.0,4.0,4.0,6.0,64
"Campo Comprido, Curitiba",7800000,670.0,4.0,5.0,5.0,23
"Sitio Cercado, Curitiba",325000,80.0,2.0,1.0,2.0,70
"Santa Felicidade, Curitiba",1000000,144.0,3.0,8.0,3.0,61
"Santa Cândida, Curitiba",650000,125.0,3.0,2.0,2.0,60
"Jardim das Américas, Curitiba",750000,124.0,3.0,2.0,2.0,45
"Barigui, Curitiba",3550000,476.0,3.0,3.0,5.0,11
"Atuba, Curitiba",899000,202.0,4.0,4.0,3.0,7
"Boqueirão, Curitiba",670000,134.0,3.0,2.0,3.0,17
"Ecoville, Curitiba",1420000,214.0,3.0,2.0,3.0,35
