local,preco,metragem,quartos,garagens,banheiros,bairro
"Água Verde, Curitiba",1024520,146.0,3.0,1.0,5.0,1
"Sitio Cercado, Curitiba",430000,82.0,3.0,1.0,3.0,70
"Campo de Santana, Curitiba",220000,50.0,3.0,1.0,1.0,24
"Campo de Santana, Curitiba",559999,121.0,3.0,2.0,2.0,24
"Butiatuvinha, Curitiba",2980000,308.0,3.0,2.0,3.0,18
"Xaxim, Curitiba",420000,129.0,3.0,2.0,2.0,79
"Sitio Cercado, Curitiba",329000,65.0,3.0,2.0,1.0,70
"Santa Felicidade, Curitiba",2210000,273.0,3.0,2.0,4.0,61
"Boa Vista, Curitiba",650000,129.0,3.0,4.0,2.0,15
"Boa Vista, Curitiba",850000,252.0,5.0,4.0,2.0,15
"Boa Vista, Curitiba",649000,141.0,3.0,2.0,4.0,15
"Uberaba, Curitiba",5890000,677.0,3.0,7.0,6.0,75
"Boa Vista, Curitiba",589999,110.0,3.0,2.0,3.0,15
"Jardim das Américas, Curitiba",620000,133.0,4.0,2.0,4.0,45
"Xaxim, Curitiba",780000,114.0,3.0,3.0,2.0,79
"São Lourenço, Curitiba",4870000,680.0,4.0,8.0,8.0,67
"Campo Comprido, Curitiba",2150000,470.0,4.0,3.0,4.0,23
"Uberaba, Curitiba",995000,227.0,3.0,4.0,4.0,75
"Guaíra, Curitiba",599900,154.0,3.0,2.0,3.0,40
"Bairro Alto, Curitiba",749000,220.0,4.0,3.0,2.0,10
"Uberaba, Curitiba",820000,197.0,4.0,4.0,4.0,75
"Xaxim, Curitiba",470000,160.0,3.0,3.0,3.0,79
"Umbará, Curitiba",559000,156.0,4.0,2.0,2.0,76
"Santo Inácio, Curitiba",8900000,641.0,4.0,4.0,6.0,63
"Cajuru, Curitiba",550000,99.0,3.0,4.0,2.0,21
"Campo Comprido, Curitiba",2980000,360.0,4.0,4.0,6.0,23
"Seminário, Curitiba",950000,150.0,3.0,2.0,3.0,69
"Ahú, Curitiba",2800000,749.0,4.0,4.0,3.0,2
"Guaíra, Curitiba",570000,92.0,3.0,3.0,2.0,40
"Boqueirão, Curitiba",665000,152.0,3.0,3.0,4.0,17
"Uberaba, Curitiba",650000,125.0,3.0,2.0,2.0,75
"Bairro Alto, Curitiba",345000,60.0,3.0,2.0,1.0,10
"Bom Retiro, Curitiba",2900000,409.0,4.0,4.0,5.0,16
"Fanny, Curitiba",945000,240.0,3.0,4.0,4.0,36
"Lindóia, Curitiba",552000,141.0,3.0,2.0,1.0,48
"Boqueirão, Curitiba",970000,159.0,3.0,5.0,2.0,17
"Orleans, Curitiba",899000,164.0,4.0,2.0,4.0,52
"São Braz, Curitiba",5980000,531.0,4.0,6.0,6.0,64
"Santa Felicidade, Curitiba",1820000,273.0,4.0,4.0,4.0,61
"Orleans, Curitiba",2500000,306.0,4.0,4.0,5.0,52
"Santa Felicidade, Curitiba",798200,174.0,3.0,1.0,4.0,61
"Fanny, Curitiba",819000,200.0,4.0,3.0,4.0,36
"Santa Felicidade, Curitiba",3300000,402.0,5.0,6.0,7.0,61
"Boa Vista, Curitiba",949999,135.0,4.0,2.0,2.0,15
"Bairro Alto, Curitiba",420000,96.0,3.0,2.0,1.0,10
"Jardim das Américas, Curitiba",760000,144.0,3.0,2.0,4.0,45
"São João, Curitiba",3990000,420.0,3.0,6.0,6.0,66
"Boa Vista, Curitiba",900000,184.0,3.0,2.0,5.0,15
"Cajuru, Curitiba",499000,102.0,3.0,1.0,3.0,21
"Uberaba, Curitiba",590000,141.0,3.0,2.0,3.0,75
"Ahú, Curitiba",1495000,260.0,3.0,3.0,3.0,2
"Sitio Cercado, Curitiba",359000,120.0,2.0,2.0,2.0,70
"Cajuru, Curitiba",590000,134.0,3.0,3.0,3.0,21
"São João, Curitiba",3890000,420.0,3.0,4.0,6.0,66
"Pinheirinho, Curitiba",649000,140.0,3.0,4.0,3.0,55
"Xaxim, Curitiba",524950,90.0,3.0,2.0,3.0,79
"Campo Comprido, Curitiba",1437000,315.0,3.0,3.0,4.0,23
"Ahú, Curitiba",649000,120.0,3.0,2.0,3.0,2
"Jardim Social, Curitiba",1200000,203.0,3.0,2.0,3.0,44
"Atuba, Curitiba",523950,103.0,3.0,2.0,1.0,7
"Campo Comprido, Curitiba",7800000,670.0,4.0,5.0,6.0,23
"São Lourenço, Curitiba",1550000,262.0,5.0,6.0,5.0,67
"Cajuru, Curitiba",480000,110.0,3.0,2.0,2.0,21
"Jardim das Américas, Curitiba",690000,135.0,3.0,3.0,2.0,45
"Cascatinha, Curitiba",3318000,257.0,3.0,4.0,5.0,27
"Guaíra, Curitiba",735000,120.0,3.0,4.0,3.0,40
"Novo Mundo, Curitiba",1900000,208.0,3.0,4.0,6.0,51
"Uberaba, Curitiba",598000,105.0,3.0,2.0,4.0,75
"Cajuru, Curitiba",599000,110.0,3.0,2.0,3.0,21
"Xaxim, Curitiba",525000,90.0,3.0,2.0,2.0,79
"Tatuquara, Curitiba",185000,42.0,2.0,1.0,1.0,73
"Uberaba, Curitiba",790000,138.0,3.0,2.0,2.0,75
"Lindóia, Curitiba",550000,141.0,3.0,2.0,2.0,48
"Pinheirinho, Curitiba",380950,72.0,3.0,2.0,2.0,55
"Uberaba, Curitiba",899000,150.0,3.0,2.0,3.0,75
"Campo de Santana, Curitiba",450000,,,,,24
"Umbará, Curitiba",819000,161.0,3.0,2.0,3.0,76
"Santa Felicidade, Curitiba",500000,108.0,3.0,2.0,2.0,61
"Novo Mundo, Curitiba",790000,162.0,3.0,2.0,4.0,51
"Campo de Santana, Curitiba",175000,39.0,2.0,2.0,1.0,24
"Jardim Social, Curitiba",3990000,711.0,5.0,12.0,6.0,44
"Umbará, Curitiba",1450000,235.0,4.0,4.0,4.0,76
"Butiatuvinha, Curitiba",2980000,307.0,4.0,2.0,5.0,18
"Água Verde, Curitiba",2999900,707.0,4.0,8.0,6.0,1
"Uberaba, Curitiba",649990,120.0,3.0,2.0,3.0,75
"Uberaba, Curitiba",3500000,494.0,4.0,4.0,5.0,75
"Jardim Social, Curitiba",2180000,312.0,3.0,3.0,6.0,44
"Mossunguê, Curitiba",1250000,287.0,3.0,5.0,3.0,50
"Campo de Santana, Curitiba",520000,178.0,3.0,4.0,2.0,24
"Bacacheri, Curitiba",3450000,428.0,5.0,4.0,7.0,9
"São Braz, Curitiba",1950000,315.0,4.0,5.0,4.0,64
"Uberaba, Curitiba",830000,198.0,3.0,3.0,3.0,75
"Abranches, Curitiba",420000,158.0,3.0,1.0,3.0,0
"Cajuru, Curitiba",530000,186.0,4.0,3.0,3.0,21
"Campo de Santana, Curitiba",175000,45.0,2.0,1.0,1.0,24
"Campo Comprido, Curitiba",6700000,466.0,4.0,3.0,5.0,23
"Santa Felicidade, Curitiba",820000,146.0,3.0,1.0,4.0,61
"Sitio Cercado, Curitiba",330000,80.0,2.0,2.0,1.0,70
"Bairro Alto, Curitiba",430000,81.0,3.0,2.0,3.0,10
"Uberaba, Curitiba",599000,105.0,3.0,2.0,3.0,75
"Campo Comprido, Curitiba",3500000,380.0,2.0,3.0,4.0,23
"Hauer, Curitiba",850000,200.0,3.0,6.0,3.0,41
"Centro, Curitiba",205000,45.0,2.0,1.0,1.0,28
"Xaxim, Curitiba",690000,140.0,4.0,,3.0,79
"Água Verde, Curitiba",1197000,162.0,3.0,2.0,4.0,1
"Boa Vista, Curitiba",950000,146.0,4.0,2.0,2.0,15
"Boa Vista, Curitiba",970000,400.0,5.0,5.0,3.0,15
"São Lourenço, Curitiba",780000,171.0,3.0,2.0,4.0,67
"Santa Felicidade, Curitiba",635000,102.0,3.0,2.0,3.0,61
"Ganchinho, Curitiba",300000,70.0,2.0,2.0,2.0,38
"Vista Alegre, Curitiba",850000,109.0,3.0,2.0,3.0,78
"Batel, Curitiba",3700000,444.0,5.0,4.0,6.0,13
"Hauer, Curitiba",890000,144.0,2.0,2.0,2.0,41
"Santa Felicidade, Curitiba",1920000,330.0,4.0,2.0,6.0,61
"Pinheirinho, Curitiba",350000,128.0,,,,55
"São Braz, Curitiba",639000,154.0,3.0,3.0,3.0,64
"Xaxim, Curitiba",690000,158.0,3.0,5.0,3.0,79
"Jardim Social, Curitiba",3950000,693.0,4.0,6.0,10.0,44
"Uberaba, Curitiba",795000,140.0,3.0,2.0,4.0,75
"Boqueirão, Curitiba",590000,151.0,3.0,2.0,2.0,17
"Campo Comprido, Curitiba",690000,160.0,3.0,3.0,2.0,23
"Boqueirão, Curitiba",800000,154.0,4.0,2.0,2.0,17
"Umbará, Curitiba",769000,176.0,3.0,1.0,3.0,76
"Pilarzinho, Curitiba",750000,163.0,3.0,3.0,3.0,54
"Parolin, Curitiba",790000,219.0,3.0,1.0,2.0,53
"Santa Felicidade, Curitiba",2998000,648.0,5.0,,,61
"Atuba, Curitiba",650000,178.0,3.0,2.0,4.0,7
"Bom Retiro, Curitiba",800000,169.0,4.0,3.0,3.0,16
"Xaxim, Curitiba",550000,149.0,3.0,2.0,3.0,79
"Pilarzinho, Curitiba",1490000,348.0,5.0,6.0,6.0,54
"Cascatinha, Curitiba",1499000,248.0,3.0,2.0,5.0,27
"Umbará, Curitiba",285000,50.0,2.0,2.0,1.0,76
"Santa Felicidade, Curitiba",1970000,400.0,3.0,4.0,4.0,61
"Capão Raso, Curitiba",769000,147.0,3.0,2.0,3.0,26
"Bacacheri, Curitiba",2180000,312.0,3.0,3.0,5.0,9
"Cajuru, Curitiba",470000,98.0,3.0,2.0,3.0,21
"Uberaba, Curitiba",749000,141.0,4.0,3.0,4.0,75
"Uberaba, Curitiba",650000,120.0,4.0,1.0,3.0,75
"Boa Vista, Curitiba",2600000,673.0,5.0,6.0,7.0,15
"Pilarzinho, Curitiba",1650000,399.0,3.0,6.0,6.0,54
"Bairro Alto, Curitiba",1300000,300.0,3.0,10.0,5.0,10
"Bom Retiro, Curitiba",957000,176.0,3.0,1.0,4.0,16
"Hugo Lange, Curitiba",3990000,711.0,5.0,12.0,6.0,42
"Pinheirinho, Curitiba",1420000,236.0,3.0,4.0,4.0,55
"Bacacheri, Curitiba",799999,200.0,4.0,2.0,3.0,9
"Pilarzinho, Curitiba",898000,205.0,3.0,4.0,5.0,54
"São João, Curitiba",4990000,527.0,5.0,4.0,8.0,66
"Campo Comprido, Curitiba",740000,166.0,3.0,2.0,3.0,23
"Mercês, Curitiba",1980000,252.0,4.0,2.0,3.0,49
"Uberaba, Curitiba",569900,111.0,3.0,2.0,3.0,75
"Campo Comprido, Curitiba",1950000,260.0,3.0,2.0,6.0,23
"Jardim Botânico, Curitiba",950000,176.0,3.0,6.0,4.0,43
"Abranches, Curitiba",799000,202.0,3.0,3.0,3.0,0
"Cidade Industrial, Curitiba",780000,173.0,3.0,2.0,3.0,33
"Guabirotuba, Curitiba",1250000,280.0,4.0,4.0,3.0,39
"Bairro Alto, Curitiba",278000,44.0,2.0,2.0,1.0,10
"Santo Inácio, Curitiba",5350000,539.0,4.0,8.0,6.0,63
"Campo Comprido, Curitiba",3450000,380.0,3.0,3.0,5.0,23
"Campo de Santana, Curitiba",250000,70.0,2.0,2.0,2.0,24
"Bairro Alto, Curitiba",580000,116.0,3.0,2.0,3.0,10
"Sitio Cercado, Curitiba",370000,160.0,3.0,2.0,2.0,70
"Centro, Curitiba",2475751,369.0,7.0,,5.0,28
"Bom Retiro, Curitiba",1500000,218.0,5.0,2.0,6.0,16
"Bacacheri, Curitiba",1050000,203.0,3.0,2.0,4.0,9
"Cajuru, Curitiba",480000,,,,,21
"Sitio Cercado, Curitiba",395000,85.0,2.0,2.0,1.0,70
"Portão, Curitiba",1350000,165.0,2.0,4.0,3.0,56
"Cidade Industrial, Curitiba",750000,220.0,3.0,2.0,2.0,33
"Boqueirão, Curitiba",460000,94.0,3.0,,2.0,17
"Campo Comprido, Curitiba",10000000,700.0,4.0,3.0,6.0,23
"Cidade Industrial, Curitiba",182000,60.0,2.0,2.0,1.0,33
"Caiuá, Curitiba",369000,266.0,6.0,3.0,3.0,-1
"Uberaba, Curitiba",670000,116.0,3.0,2.0,1.0,75
"Abranches, Curitiba",498000,154.0,4.0,3.0,4.0,0
"Xaxim, Curitiba",639000,108.0,3.0,2.0,2.0,79
"Sitio Cercado, Curitiba",379999,87.0,3.0,2.0,1.0,70
"Ecoville, Curitiba",3850000,430.0,4.0,4.0,6.0,35
"Fazendinha, Curitiba",750000,124.0,3.0,2.0,3.0,37
"São João, Curitiba",6990000,1000.0,5.0,10.0,6.0,66
"Jardim Social, Curitiba",4950000,654.0,4.0,10.0,10.0,44
"Uberaba, Curitiba",500000,87.0,3.0,2.0,2.0,75
"Santa Cândida, Curitiba",1290000,244.0,3.0,4.0,4.0,60
"Bigorrilho, Curitiba",1595000,250.0,3.0,2.0,4.0,14
"Barreirinha, Curitiba",580000,121.0,3.0,2.0,2.0,12
"Santa Felicidade, Curitiba",760000,120.0,3.0,1.0,2.0,61
"Bairro Alto, Curitiba",265000,45.0,2.0,2.0,1.0,10
"Sitio Cercado, Curitiba",430000,80.0,3.0,2.0,1.0,70
"Vista Alegre, Curitiba",1490000,200.0,3.0,2.0,3.0,78
"Uberaba, Curitiba",635000,110.0,3.0,1.0,3.0,75
"Fanny, Curitiba",1599000,399.0,3.0,7.0,10.0,36
"Santa Felicidade, Curitiba",1980000,200.0,4.0,2.0,5.0,61
"Santo Inácio, Curitiba",1499400,219.0,5.0,4.0,5.0,63
"Cajuru, Curitiba",550000,101.0,3.0,2.0,3.0,21
"Santo Inácio, Curitiba",1651000,240.0,3.0,3.0,5.0,63
"Cajuru, Curitiba",600000,108.0,3.0,2.0,3.0,21
"Umbará, Curitiba",749999,130.0,3.0,2.0,2.0,76
"Barreirinha, Curitiba",495000,119.0,3.0,1.0,3.0,12
"Alto Boqueirão, Curitiba",292011,62.0,2.0,1.0,1.0,3
"São Braz, Curitiba",2500000,240.0,4.0,4.0,4.0,64
"Novo Mundo, Curitiba",1250000,240.0,4.0,3.0,4.0,51
"Capão Raso, Curitiba",2980000,440.0,5.0,6.0,5.0,26
"Boqueirão, Curitiba",369000,77.0,2.0,2.0,1.0,17
"Seminário, Curitiba",3200000,401.0,4.0,10.0,6.0,69
"Cidade Industrial, Curitiba",480000,96.0,3.0,2.0,2.0,33
"Cidade Industrial, Curitiba",265000,75.0,2.0,2.0,2.0,33
"Ecoville, Curitiba",5750000,825.0,4.0,3.0,7.0,35
"Campo de Santana, Curitiba",210000,61.0,3.0,2.0,1.0,24
"São Lourenço, Curitiba",1780000,330.0,3.0,3.0,3.0,67
"Santa Cândida, Curitiba",1275000,214.0,3.0,3.0,3.0,60
"Campo Comprido, Curitiba",830000,143.0,3.0,2.0,3.0,23
"Campo de Santana, Curitiba",279000,77.0,2.0,2.0,2.0,24
"Santa Felicidade, Curitiba",3800000,375.0,6.0,4.0,5.0,61
"Umbará, Curitiba",485000,91.0,3.0,2.0,2.0,76
"Abranches, Curitiba",1130000,158.0,3.0,2.0,3.0,0
"Campo Comprido, Curitiba",719625,145.0,3.0,3.0,3.0,23
"Portão, Curitiba",755000,156.0,3.0,2.0,3.0,56
"Tingui, Curitiba",3890000,420.0,3.0,4.0,6.0,74
"Campo Comprido, Curitiba",7500000,781.0,4.0,,,23
"São João, Curitiba",3200000,428.0,4.0,4.0,6.0,66
"Santa Cândida, Curitiba",680000,135.0,3.0,2.0,2.0,60
"Bairro Alto, Curitiba",605000,145.0,3.0,2.0,3.0,10
"Bairro Alto, Curitiba",580000,156.0,3.0,3.0,3.0,10
"Abranches, Curitiba",2100000,347.0,3.0,9.0,4.0,0
"Água Verde, Curitiba",1024000,146.0,3.0,4.0,5.0,1
"Bom Retiro, Curitiba",1138000,238.0,3.0,2.0,3.0,16
"Santo Inácio, Curitiba",1450000,226.0,3.0,4.0,6.0,63
"Butiatuvinha, Curitiba",1819000,354.0,4.0,4.0,5.0,18
"Umbará, Curitiba",350000,114.0,3.0,2.0,1.0,76
"Boa Vista, Curitiba",649000,129.0,3.0,2.0,2.0,15
"Boqueirão, Curitiba",600000,135.0,3.0,3.0,2.0,17
"Uberaba, Curitiba",699000,162.0,3.0,2.0,2.0,75
"Boa Vista, Curitiba",605000,121.0,3.0,2.0,3.0,15
"Mossunguê, Curitiba",1370000,242.0,3.0,4.0,4.0,50
"Abranches, Curitiba",1590000,470.0,4.0,6.0,5.0,0
"Água Verde, Curitiba",1099000,140.0,4.0,2.0,3.0,1
"Pinheirinho, Curitiba",680000,128.0,3.0,4.0,3.0,55
"Jardim das Américas, Curitiba",1199000,155.0,3.0,2.0,5.0,45
"Boa Vista, Curitiba",650000,129.0,3.0,1.0,2.0,15
"Campo Comprido, Curitiba",1190000,140.0,3.0,1.0,3.0,23
"Umbará, Curitiba",970000,191.0,3.0,2.0,4.0,76
"Cascatinha, Curitiba",2400000,363.0,5.0,4.0,6.0,27
"Campo Comprido, Curitiba",2980000,500.0,5.0,5.0,7.0,23
"Campo Comprido, Curitiba",9800000,982.0,4.0,8.0,7.0,23
"Capão Raso, Curitiba",990000,182.0,4.0,5.0,2.0,26
"Batel, Curitiba",5000000,400.0,6.0,9.0,11.0,13
"Ahú, Curitiba",967900,155.0,3.0,2.0,5.0,2
"Pinheirinho, Curitiba",435000,75.0,3.0,3.0,1.0,55
"Pilarzinho, Curitiba",699000,150.0,3.0,2.0,3.0,54
"Boqueirão, Curitiba",1899000,284.0,3.0,4.0,3.0,17
"Uberaba, Curitiba",600000,166.0,3.0,2.0,4.0,75
"Umbará, Curitiba",780000,144.0,3.0,2.0,2.0,76
"Uberaba, Curitiba",575000,110.0,3.0,2.0,2.0,75
"Sitio Cercado, Curitiba",310000,77.0,3.0,2.0,2.0,70
"Santa Felicidade, Curitiba",4900000,780.0,5.0,6.0,8.0,61
"Butiatuvinha, Curitiba",1900000,374.0,4.0,4.0,5.0,18
"Lindóia, Curitiba",550000,101.0,3.0,1.0,3.0,48
"São Braz, Curitiba",1651000,240.0,3.0,3.0,5.0,64
"Cidade Industrial, Curitiba",4480000,430.0,3.0,6.0,6.0,33
"Bairro Alto, Curitiba",630000,195.0,3.0,4.0,3.0,10
"São Lourenço, Curitiba",969900,193.0,4.0,2.0,3.0,67
"Santo Inácio, Curitiba",3390000,334.0,4.0,4.0,5.0,63
"Jardim Social, Curitiba",2180000,326.0,3.0,3.0,5.0,44
"Boa Vista, Curitiba",475000,120.0,3.0,2.0,2.0,15
"São Lourenço, Curitiba",777567,112.0,3.0,3.0,3.0,67
"Alto Boqueirão, Curitiba",732000,134.0,3.0,1.0,3.0,3
"Santa Felicidade, Curitiba",1820000,273.0,4.0,2.0,6.0,61
"Campo de Santana, Curitiba",275000,70.0,2.0,1.0,1.0,24
"Uberaba, Curitiba",599000,116.0,3.0,1.0,3.0,75
"Jardim Social, Curitiba",3450000,428.0,5.0,4.0,7.0,44
"Fazendinha, Curitiba",445000,90.0,3.0,2.0,3.0,37
"Atuba, Curitiba",459531,105.0,3.0,2.0,3.0,7
"Atuba, Curitiba",1290000,300.0,3.0,4.0,5.0,7
"Tingui, Curitiba",720000,86.0,3.0,1.0,4.0,74
"Santo Inácio, Curitiba",5350000,539.0,4.0,4.0,4.0,63
"Capão Raso, Curitiba",1900000,222.0,3.0,5.0,4.0,26
"Butiatuvinha, Curitiba",1390000,408.0,3.0,5.0,5.0,18
"Jardim das Américas, Curitiba",689001,172.0,4.0,3.0,4.0,45
"Capão Raso, Curitiba",692000,190.0,4.0,4.0,4.0,26
"Água Verde, Curitiba",1024520,218.0,3.0,2.0,3.0,1
"Taboão, Curitiba",2700000,280.0,3.0,6.0,3.0,71
"Tatuquara, Curitiba",210000,67.0,2.0,2.0,1.0,73
"Santa Cândida, Curitiba",430000,96.0,3.0,,,60
"Santo Inácio, Curitiba",4350000,545.0,4.0,3.0,6.0,63
"Capão Raso, Curitiba",660000,164.0,3.0,2.0,2.0,26
"Sitio Cercado, Curitiba",330000,70.0,1.0,2.0,2.0,70
"Capão da Imbuia, Curitiba",650000,277.0,3.0,4.0,3.0,25
"Tatuquara, Curitiba",180000,54.0,2.0,2.0,1.0,73
"São Braz, Curitiba",890000,148.0,3.0,2.0,3.0,64
"Jardim das Américas, Curitiba",760000,130.0,3.0,2.0,4.0,45
"Abranches, Curitiba",2100000,347.0,3.0,8.0,5.0,0
"Pinheirinho, Curitiba",490000,144.0,4.0,2.0,3.0,55
"Campo Comprido, Curitiba",3989000,484.0,4.0,5.0,5.0,23
"Mossunguê, Curitiba",2050000,306.0,4.0,4.0,3.0,50
"Butiatuvinha, Curitiba",2490000,315.0,3.0,4.0,5.0,18
"Campo Comprido, Curitiba",3400000,380.0,2.0,4.0,4.0,23
"Sitio Cercado, Curitiba",350000,80.0,3.0,2.0,2.0,70
"Uberaba, Curitiba",639000,126.0,3.0,2.0,3.0,75
"Boa Vista, Curitiba",750000,189.0,3.0,2.0,3.0,15
"Xaxim, Curitiba",995000,153.0,3.0,2.0,4.0,79
"Campo Comprido, Curitiba",3499000,564.0,5.0,4.0,5.0,23
"Água Verde, Curitiba",1132600,162.0,4.0,2.0,4.0,1
"Uberaba, Curitiba",650000,124.0,3.0,2.0,3.0,75
"Santa Felicidade, Curitiba",2050000,258.0,3.0,4.0,5.0,61
"Campo de Santana, Curitiba",525000,112.0,3.0,2.0,2.0,24
"Santa Felicidade, Curitiba",894000,150.0,4.0,11.0,3.0,61
"São Lourenço, Curitiba",2200000,297.0,3.0,2.0,3.0,67
